ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId,NewProcessPath,NewProcessName,ParentProcessNameOnly,suspicious_office_spawn,suspicious_svchost,exit_time,duration_seconds
,SCRANTON$,2020-05-02 03:20:01.053000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s fhsvc,C:\Windows\System32\services.exe,0x1134,C:\windows\system32\svchost.exe,svchost.exe,services.exe,False,False,2020-05-02 03:20:15.314000+00:00,14.261000000000001
,SCRANTON$,2020-05-02 03:20:01.053000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x3e4,,,SCRANTON$,,C:\windows\System32\svchost.exe -k NetworkService -p -s DoSvc,C:\Windows\System32\services.exe,0x113c,C:\windows\System32\svchost.exe,svchost.exe,services.exe,False,False,2020-05-02 03:24:23.396000+00:00,262.343
,SCRANTON$,2020-05-02 03:20:01.054000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\System32\svchost.exe -k NetSvcs -p -s NcaSvc,C:\Windows\System32\services.exe,0x1158,C:\windows\System32\svchost.exe,svchost.exe,services.exe,False,False,2020-05-02 03:20:01.438000+00:00,0.384
,SCRANTON$,2020-05-02 03:20:01.059000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd20,,0x0,,,-,,"""wevtutil.exe"" im C:\WindowsAzure\Packages\GuestAgent\AzureEvents.man",C:\WindowsAzure\Packages\WaAppAgent.exe,0x1274,"""wevtutil.exe""",wevtutil.exe,waappagent.exe,False,False,2020-05-02 03:20:07.531000+00:00,6.472
,SCRANTON$,2020-05-02 03:20:01.059000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x1274,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\wevtutil.exe,0x127c,\??\C:\windows\system32\conhost.exe,conhost.exe,wevtutil.exe,False,False,2020-05-02 03:20:07.531000+00:00,6.472
,SCRANTON$,2020-05-02 03:20:02.097000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x2e0,,0x0,,,-,,C:\windows\System32\svchost.exe -k netsvcs -p -s NetSetupSvc,C:\Windows\System32\services.exe,0x1348,C:\windows\System32\svchost.exe,svchost.exe,services.exe,False,False,2020-05-02 03:20:07.532000+00:00,5.4350000000000005
,SCRANTON$,2020-05-02 03:20:06.764000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xe14,,0x0,,,-,,C:\windows\system32\dispdiag.exe -out dispdiag_start.dat,C:\Windows\System32\netsh.exe,0x13a0,C:\windows\system32\dispdiag.exe,dispdiag.exe,netsh.exe,False,False,2020-05-02 03:20:06.765000+00:00,0.001
,SCRANTON$,2020-05-02 03:20:06.764000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13a0,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\dispdiag.exe,0x13ac,\??\C:\windows\system32\conhost.exe,conhost.exe,dispdiag.exe,False,False,2020-05-02 03:20:06.765000+00:00,0.001
,SCRANTON$,2020-05-02 03:20:06.765000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0xd8c,,0x0,,,-,,"""ipconfig.exe"" /all",C:\WindowsAzure\Packages\GuestAgent\WindowsAzureGuestAgent.exe,0x13d8,"""ipconfig.exe""",ipconfig.exe,windowsazureguestagent.exe,False,False,2020-05-02 03:20:07.155000+00:00,0.39
,SCRANTON$,2020-05-02 03:20:06.765000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4688,0x3e7,0x13d8,,0x0,,,-,,\??\C:\windows\system32\conhost.exe 0xffffffff -ForceV1,C:\Windows\System32\ipconfig.exe,0x13e4,\??\C:\windows\system32\conhost.exe,conhost.exe,ipconfig.exe,False,False,2020-05-02 03:20:07.155000+00:00,0.39
